Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",126.000000,-111.000000,180.000000,top
"C2","22uF","C_1206_3216Metric",130.500000,-128.000000,0.000000,top
"C3","22uF","C_1206_3216Metric",137.500000,-128.000000,0.000000,top
"C4","100nF/50V","C_0805_2012Metric",129.000000,-87.000000,0.000000,top
"D1","SS34","D_SMA",122.000000,-87.000000,180.000000,top
"D2","SMBJ16A","D_SMB",122.000000,-93.000000,0.000000,top
"F1","PTC 200mA","R_1206_3216Metric",115.000000,-87.000000,0.000000,top
"J1","12V IN +","WirePad_StrainRelief",106.000000,-87.000000,0.000000,top
"J2","12V IN -","WirePad_StrainRelief",106.000000,-96.000000,0.000000,top
"J3","SENDER A","WirePad_StrainRelief",106.000000,-110.000000,0.000000,top
"J4","SENDER B","WirePad_StrainRelief",106.000000,-122.000000,0.000000,top
"Q1","AO3400A","SOT-23",118.000000,-116.000000,0.000000,top
"R1","1R 0.1%","R_0805_2012Metric",118.000000,-105.000000,0.000000,top
"R2","100R","R_0805_2012Metric",123.000000,-105.000000,0.000000,top
"R3","100R","R_0805_2012Metric",111.500000,-116.000000,0.000000,top
"R4","100k","R_0805_2012Metric",118.000000,-121.000000,0.000000,top
"R5","4k7","R_0805_2012Metric",126.000000,-120.000000,180.000000,top
"R6","4k7","R_0805_2012Metric",126.000000,-116.000000,180.000000,top
"SB1","3V3 FEED","SolderBridge_2pad",144.500000,-128.000000,0.000000,top
"U1","XIAO ESP32-C3","XIAO-ESP32C3_TopSolder",142.000000,-112.000000,-90.000000,top
"U2","INA238AIDGSR","MSOP-10_3x3mm_P0.5mm",121.000000,-111.000000,90.000000,top
"U3","3V3 5-30V","DCDC_Module_18x12_4pad",142.000000,-89.000000,0.000000,top
